                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.87184,                0.75961,                 1.0603,                0.70269,                      1,                  0.995,                0.68579,                 1.0188,                 2.5162,                 1.2056,             0.00083002,             0.00083002,             0.00083002
                     91,                0.64942,                0.57326,                 1.0149,                0.70269,                      1,                  0.995,                0.68579,                 1.0188,                 2.5162,                 1.2056,             0.00083192,             0.00083192,             0.00083192
                     92,                0.63045,                 0.5062,                 1.0986,                0.95625,                      1,                  0.995,                0.73331,                0.99596,                 2.2639,                 1.2501,             0.00083365,             0.00083365,             0.00083365
                     93,                0.63679,                0.53202,                 1.0219,                0.95625,                      1,                  0.995,                0.73331,                0.99596,                 2.2639,                 1.2501,             0.00083522,             0.00083522,             0.00083522
                     94,                0.69553,                0.57055,                 1.0597,                0.95625,                      1,                  0.995,                0.73331,                0.99596,                 2.2639,                 1.2501,             0.00083662,             0.00083662,             0.00083662
                     95,                0.68867,                0.54936,                   1.13,                0.95625,                      1,                  0.995,                0.73331,                0.99596,                 2.2639,                 1.2501,             0.00083786,             0.00083786,             0.00083786
                     96,                0.61443,                0.54412,                  1.026,                0.81814,                      1,                  0.995,                0.71787,                0.89546,                 1.5231,                 1.0698,             0.00083894,             0.00083894,             0.00083894
                     97,                0.86262,                0.70662,                 1.1958,                0.81814,                      1,                  0.995,                0.71787,                0.89546,                 1.5231,                 1.0698,             0.00083985,             0.00083985,             0.00083985
                     98,                 0.9439,                0.65416,                 1.2883,                0.81814,                      1,                  0.995,                0.71787,                0.89546,                 1.5231,                 1.0698,             0.00084059,             0.00084059,             0.00084059
                     99,                0.71479,                0.59771,                 1.0889,                0.81814,                      1,                  0.995,                0.71787,                0.89546,                 1.5231,                 1.0698,             0.00084117,             0.00084117,             0.00084117
                    100,                0.73106,                 0.5562,                 1.0901,                0.82629,                      1,                  0.995,                0.76548,                0.56488,                 1.1232,                0.87045,             0.00084159,             0.00084159,             0.00084159
                    101,                0.76834,                0.73713,                 1.2871,                0.82629,                      1,                  0.995,                0.76548,                0.56488,                 1.1232,                0.87045,             0.00084184,             0.00084184,             0.00084184
                    102,                 1.1691,                0.84357,                 1.4913,                0.82629,                      1,                  0.995,                0.76548,                0.56488,                 1.1232,                0.87045,             0.00083358,             0.00083358,             0.00083358
                    103,                 0.6514,                0.63413,                 1.0212,                0.82629,                      1,                  0.995,                0.76548,                0.56488,                 1.1232,                0.87045,             0.00082533,             0.00082533,             0.00082533
                    104,                 0.8912,                0.60026,                 1.1563,                0.83929,                      1,                  0.995,                0.91214,                0.84407,                0.88888,                 1.2065,             0.00081708,             0.00081708,             0.00081708
                    105,                0.93823,                0.74269,                  1.375,                0.83929,                      1,                  0.995,                0.91214,                0.84407,                0.88888,                 1.2065,             0.00080883,             0.00080883,             0.00080883
                    106,                0.68018,                0.69655,                 1.1079,                0.83929,                      1,                  0.995,                0.91214,                0.84407,                0.88888,                 1.2065,             0.00080058,             0.00080058,             0.00080058
                    107,                0.61988,                0.58815,                 1.0447,                0.83929,                      1,                  0.995,                0.91214,                0.84407,                0.88888,                 1.2065,             0.00079233,             0.00079233,             0.00079233
                    108,                0.67672,                0.58912,                 1.1913,                 0.8557,                      1,                  0.995,                0.94766,                0.77706,                 1.4877,                 1.2497,             0.00078407,             0.00078407,             0.00078407
                    109,                0.54838,                0.54026,                 1.0639,                 0.8557,                      1,                  0.995,                0.94766,                0.77706,                 1.4877,                 1.2497,             0.00077582,             0.00077582,             0.00077582
                    110,                0.60946,                0.54178,                 1.0903,                 0.8557,                      1,                  0.995,                0.94766,                0.77706,                 1.4877,                 1.2497,             0.00076757,             0.00076757,             0.00076757
                    111,                0.74554,                0.63433,                 1.1929,                 0.8557,                      1,                  0.995,                0.94766,                0.77706,                 1.4877,                 1.2497,             0.00075932,             0.00075932,             0.00075932
                    112,                0.78295,                0.61333,                 1.1995,                      1,                0.95134,                  0.995,                0.89672,                0.67607,                 1.4098,                 1.0444,             0.00075107,             0.00075107,             0.00075107
                    113,                0.78365,                0.55136,                 1.2114,                      1,                0.95134,                  0.995,                0.89672,                0.67607,                 1.4098,                 1.0444,             0.00074282,             0.00074282,             0.00074282
                    114,                0.70757,                0.51839,                 1.0886,                      1,                0.95134,                  0.995,                0.89672,                0.67607,                 1.4098,                 1.0444,             0.00073456,             0.00073456,             0.00073456
                    115,                0.69331,                0.51929,                 1.2379,                      1,                0.95134,                  0.995,                0.89672,                0.67607,                 1.4098,                 1.0444,             0.00072631,             0.00072631,             0.00072631
                    116,                0.63234,                0.53088,                 1.0377,                0.65829,                    0.8,                0.77595,                 0.6857,                0.75449,                 1.0781,                 1.0365,             0.00071806,             0.00071806,             0.00071806
                    117,                 0.8442,                0.58603,                 1.2381,                0.65829,                    0.8,                0.77595,                 0.6857,                0.75449,                 1.0781,                 1.0365,             0.00070981,             0.00070981,             0.00070981
                    118,                0.73707,                0.61403,                 1.1671,                0.65829,                    0.8,                0.77595,                 0.6857,                0.75449,                 1.0781,                 1.0365,             0.00070156,             0.00070156,             0.00070156
