                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.53356,                0.69884,                 1.0601,                0.82252,                      1,                0.96167,                0.92838,                0.31871,                 1.1017,                0.71991,             0.00021164,             0.00021164,             0.00021164
                     91,                0.33909,                0.89677,                 0.9126,                      1,                0.98978,                  0.995,                  0.995,                 0.2881,                 1.0427,                0.70292,              0.0001962,              0.0001962,              0.0001962
                     92,                0.51643,                0.97514,                 1.0808,                      1,                0.98978,                  0.995,                  0.995,                 0.2881,                 1.0427,                0.70292,             0.00018036,             0.00018036,             0.00018036
                     93,                 0.3843,                0.83915,                0.87814,                      1,                0.98978,                  0.995,                  0.995,                 0.2881,                 1.0427,                0.70292,             0.00016413,             0.00016413,             0.00016413
                     94,                0.34746,                0.79452,                0.89867,                0.98463,                      1,                  0.995,                  0.995,                0.28107,                 1.0365,                0.70477,              0.0001475,              0.0001475,              0.0001475
                     95,                0.30779,                0.81321,                0.92263,                0.98463,                      1,                  0.995,                  0.995,                0.28107,                 1.0365,                0.70477,             0.00013047,             0.00013047,             0.00013047
                     96,                 0.3307,                0.79218,                0.98243,                0.98463,                      1,                  0.995,                  0.995,                0.28107,                 1.0365,                0.70477,             0.00011305,             0.00011305,             0.00011305
                     97,                0.36839,                0.81127,                 1.0054,                0.97244,                      1,                  0.995,                0.96305,                0.27967,                 1.0312,                0.70673,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.29681,                0.75935,                0.88238,                0.97244,                      1,                  0.995,                0.96305,                0.27967,                 1.0312,                0.70673,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.34015,                0.76324,                0.96881,                0.97244,                      1,                  0.995,                0.96305,                0.27967,                 1.0312,                0.70673,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 0.3146,                0.79747,                0.90708,                0.97244,                      1,                  0.995,                0.96305,                0.27967,                 1.0312,                0.70673,             3.9402e-05,             3.9402e-05,             3.9402e-05
